date,epo,nao,pna,wpo,enso
"1950 ,1",128.41451612903225,87.36806451612902,526.1238709677419,199.30741935483871,24.55
"1950 ,12",82.07709677419355,95.81935483870969,168.32451612903228,75.12032258064517,25.29
"1950 ,2",126.605,51.925714285714285,146.51107142857146,81.67214285714286,25.06
"1951 ,1",164.25967741935486,95.6716129032258,162.78096774193548,111.69677419354838,25.24
"1951 ,12",136.67935483870968,128.82129032258064,256.04548387096776,84.44999999999999,26.91
"1951 ,2",61.916428571428575,103.15464285714286,141.28571428571428,99.47749999999999,25.71
"1952 ,1",72.20935483870967,119.4016129032258,360.208064516129,67.04870967741937,26.67
"1952 ,12",112.7732258064516,165.92612903225807,172.9216129032258,92.68774193548387,26.21
"1952 ,2",126.20310344827585,153.95379310344828,112.4151724137931,95.97241379310344,26.74
"1953 ,1",116.98258064516129,91.58516129032257,124.44645161290323,85.04096774193549,26.74
"1953 ,12",109.90612903225806,89.11290322580645,179.18,93.02290322580646,27
"1953 ,2",110.53857142857143,145.32785714285714,126.57892857142858,115.0525,27
"1954 ,1",142.88774193548386,117.72935483870968,265.57290322580644,147.4316129032258,26.98
"1954 ,12",105.51387096774194,65.03870967741936,182.79806451612902,65.55225806451612,25.26
"1954 ,2",165.33892857142857,103.91214285714285,188.04964285714286,97.10214285714287,27.03
"1955 ,1",91.4216129032258,199.91,100.8916129032258,119.22548387096774,25.61
"1955 ,12",97.52612903225807,70.85548387096775,171.1841935483871,134.40548387096774,24.57
"1955 ,2",98.48821428571429,174.89821428571426,232.66428571428574,76.36714285714287,25.81
"1956 ,1",120.73612903225806,158.40516129032258,126.75129032258064,135.7574193548387,25.34
"1956 ,12",105.73354838709676,120.68096774193549,214.47064516129032,137.62225806451613,25.71
"1956 ,2",83.05241379310345,185.14655172413794,287.11275862068965,67.5844827586207,25.76
"1957 ,1",170.99612903225807,148.10000000000002,347.1890322580645,96.4358064516129,26.04
"1957 ,12",161.2516129032258,103.91483870967743,112.50483870967743,80.82354838709678,27.9
"1957 ,2",200.0092857142857,97.35178571428571,267.2525,131.68285714285713,26.54
"1958 ,1",60.85354838709677,174.72967741935483,236.2874193548387,89.8441935483871,28.33
"1958 ,12",90.13870967741936,63.78741935483871,130.44225806451612,63.27935483870967,26.62
"1958 ,2",95.08821428571427,203.5542857142857,234.8375,104.16821428571428,28.24
"1959 ,1",69.13709677419355,181.46870967741935,155.87870967741935,90.51612903225806,27.07
"1959 ,12",103.98709677419355,93.20064516129032,87.06774193548387,99.73451612903226,26.18
"1959 ,2",98.19214285714285,93.58642857142857,249.105,87.7042857142857,27.18
"1960 ,1",130.47193548387096,202.53032258064516,205.22645161290325,85.65516129032258,26.27
"1960 ,12",73.55322580645162,99.57645161290323,181.14161290322582,43.91225806451613,26.22
"1960 ,2",150.69,219.9506896551724,144.62103448275863,64.87310344827586,26.29
"1961 ,1",176.4148387096774,44.56516129032258,205.59967741935483,129.14967741935484,26.23
"1961 ,12",139.4909677419355,182.08967741935484,196.3174193548387,126.38225806451612,25.97
"1961 ,2",144.27607142857144,64.01678571428572,137.90892857142856,52.2425,26.56
"1962 ,1",139.54709677419356,116.08258064516129,248.47838709677418,115.06290322580645,25.96
"1962 ,12",129.68451612903226,166.86354838709678,202.48548387096776,101.64774193548386,25.67
"1962 ,2",124.25821428571429,130.22821428571427,192.8825,93.44464285714285,26.19
"1963 ,1",255.46032258064514,229.67870967741936,152.80838709677417,219.7693548387097,25.77
"1963 ,12",102.89516129032258,120.15290322580644,226.79774193548388,50.80612903225806,27.62
"1963 ,2",93.13392857142857,151.565,211.13750000000002,129.67392857142858,26.22
"1964 ,1",141.64387096774195,165.42290322580644,174.80903225806452,121.32967741935484,27.34
"1964 ,12",105.83516129032257,94.3358064516129,285.8822580645161,103.4816129032258,25.23
"1964 ,2",129.9610344827586,138.07689655172413,120.90344827586206,79.39241379310346,27.13
"1965 ,1",48.60709677419354,162.0567741935484,211.26225806451615,65.39193548387097,25.66
"1965 ,12",76.84096774193549,75.48193548387097,184.11322580645162,76.07096774193548,27.96
"1965 ,2",86.54607142857142,258.2639285714286,171.5007142857143,55.60892857142857,26.19
"1966 ,1",64.19322580645161,212.6641935483871,123.99451612903225,60.75032258064516,27.67
"1966 ,12",56.794838709677414,84.17129032258065,147.47032258064516,119.44806451612904,26.03
"1966 ,2",104.7925,146.79464285714286,188.20607142857142,105.99321428571429,27.55
"1967 ,1",98.00935483870968,140.47387096774193,161.51612903225808,127.36258064516129,25.88
"1967 ,12",140.9609677419355,117.65838709677419,168.80354838709678,58.75838709677419,25.95
"1967 ,2",105.89678571428571,95.18464285714286,126.91464285714287,77.70892857142857,26.11
"1968 ,1",127.53774193548388,66.41935483870968,282.4416129032258,145.60806451612905,25.69
"1968 ,12",103.91645161290322,128.2,165.02645161290323,108.5583870967742,27.27
"1968 ,2",166.0503448275862,174.0648275862069,277.42137931034483,136.30379310344827,25.68
"1969 ,1",113.78096774193548,199.31645161290325,309.9983870967742,88.1467741935484,27.5
"1969 ,12",65.13064516129032,87.11870967741935,237.54677419354837,65.23387096774194,26.98
"1969 ,2",112.0475,236.78357142857143,166.54392857142855,116.65178571428571,27.86
"1970 ,1",117.82193548387097,178.96516129032258,95.66129032258064,90.39612903225806,26.83
"1970 ,12",105.40387096774194,160.9225806451613,228.4341935483871,108.94548387096773,25.27
"1970 ,2",147.50500000000002,75.49321428571429,180.12892857142856,44.58464285714285,26.95
"1971 ,1",111.83258064516129,118.63451612903226,236.77032258064517,111.84032258064516,24.81
"1971 ,12",80.20451612903226,110.70612903225806,350.3925806451613,91.31935483870969,25.37
"1971 ,2",98.84142857142857,82.26607142857142,184.73499999999999,93.05142857142857,25.18
"1972 ,1",141.12967741935486,124.72483870967743,346.7725806451613,67.22129032258064,25.62
"1972 ,12",203.09032258064516,138.49774193548387,254.04935483870966,140.2458064516129,28.69
"1972 ,2",136.94103448275862,86.9144827586207,153.50137931034482,127.84965517241379,26.3
"1973 ,1",198.8358064516129,91.59032258064516,114.12935483870967,111.01677419354839,28.34
"1973 ,12",86.76387096774194,58.442903225806454,138.96935483870968,57.24612903225806,24.33
"1973 ,2",122.6875,75.63392857142857,106.29392857142857,54.059285714285714,27.95
"1974 ,1",202.68064516129033,109.76290322580645,319.85806451612905,196.84354838709677,24.46
"1974 ,12",129.00709677419357,76.65677419354839,139.09129032258065,99.36225806451613,25.63
"1974 ,2",140.8375,56.169285714285714,110.99035714285715,41.02178571428571,25.1
"1975 ,1",148.1874193548387,124.27677419354839,234.6274193548387,69.23709677419355,26.09
"1975 ,12",83.50774193548386,85.29322580645162,214.09548387096774,59.874516129032266,24.67
"1975 ,2",154.40785714285715,142.84714285714284,166.22857142857143,72.74428571428571,26.07
"1976 ,1",80.07709677419355,84.96935483870968,166.16677419354838,46.958064516129035,24.54
"1976 ,12",63.972580645161294,175.59548387096774,147.48580645161292,67.65354838709678,27.09
"1976 ,2",177.04620689655172,101.8044827586207,208.5434482758621,82.03931034482758,25.49
"1977 ,1",110.30870967741936,172.9416129032258,150.28612903225806,83.66161290322582,27.32
"1977 ,12",137.81967741935483,68.95516129032258,106.62935483870969,151.49516129032259,27.29
"1977 ,2",82.18571428571428,95.97821428571429,269.52535714285716,85.04964285714286,27.13
"1978 ,1",127.98548387096774,82.08,117.51774193548388,48.123870967741944,27.17
"1978 ,12",87.15612903225806,150.55225806451614,216.588064516129,97.61225806451613,26.54
"1978 ,2",87.68964285714286,207.10607142857143,254.76607142857142,89.95285714285714,27
"1979 ,1",149.3025806451613,196.3290322580645,131.20258064516128,119.89774193548386,26.41
"1979 ,12",107.38387096774194,135.91677419354838,185.74709677419355,170.7767741935484,27.11
"1979 ,2",89.47964285714285,162.38964285714286,159.26464285714286,41.51428571428572,26.53
"1980 ,1",204.01387096774195,148.73967741935485,189.89193548387095,148.6674193548387,27.08
"1980 ,12",105.29322580645162,174.998064516129,153.56903225806454,196.78193548387097,26.65
"1980 ,2",131.26482758620688,132.18586206896552,215.25172413793103,58.765517241379314,26.97
"1981 ,1",85.74451612903225,57.91612903225806,309.07645161290327,45.506129032258066,26.18
"1981 ,12",81.3358064516129,130.03709677419354,214.91258064516128,66.77064516129032,26.4
"1981 ,2",169.77464285714285,108.08035714285714,106.10857142857142,95.32607142857144,26.11
"1982 ,1",75.06516129032258,126.89967741935484,256.4809677419355,66.40096774193547,26.67
"1982 ,12",127.44419354838709,151.3941935483871,103.92709677419354,88.66193548387096,28.8
"1982 ,2",193.22178571428572,110.83071428571428,215.28821428571428,153.20964285714285,26.59
"1983 ,1",106.09096774193549,178.6990322580645,215.35064516129032,43.77258064516129,28.89
"1983 ,12",154.6167741935484,110.18064516129031,133.74129032258062,116.89,25.57
"1983 ,2",65.55714285714285,161.74535714285713,247.38000000000002,43.77428571428572,28.69
"1984 ,1",139.22387096774193,200.00129032258064,149.49354838709678,95.30806451612904,25.88
"1984 ,12",93.37096774193549,121.12451612903226,321.6893548387097,64.42129032258065,25.25
"1984 ,2",153.95724137931035,93.1144827586207,100.07241379310345,84.67275862068966,26.56
"1985 ,1",115.62516129032258,179.85645161290324,240.27903225806452,56.67709677419355,25.38
"1985 ,12",146.87709677419355,56.04129032258064,165.20967741935485,58.24161290322581,26.19
"1985 ,2",128.1925,169.70749999999998,238.87821428571428,100.13250000000001,26.03
"1986 ,1",100.29548387096774,87.19612903225806,194.76225806451615,84.14838709677419,25.89
"1986 ,12",105.44032258064516,143.8183870967742,161.9174193548387,48.854193548387094,27.72
"1986 ,2",134.05678571428572,170.0885714285714,182.32928571428573,129.12214285714285,26.05
"1987 ,1",95.45258064516128,156.12806451612903,167.73806451612904,88.25709677419354,27.68
"1987 ,12",122.41451612903225,122.60387096774193,155.85999999999999,124.47290322580645,27.54
"1987 ,2",88.18035714285715,138.31107142857144,196.98250000000002,70.66214285714285,27.88
"1988 ,1",145.79129032258064,88.69967741935484,112.31967741935483,92.14903225806451,27.45
"1988 ,12",88.57903225806452,71.0858064516129,217.23451612903227,87.26161290322581,24.63
