,epo-24,epo-21,epo-18,epo-15,epo-12,epo-9,epo-6,epo-3,epo0,epo3,epo6,epo9,epo12,epo15,nao-24,nao-21,nao-18,nao-15,nao-12,nao-9,nao-6,nao-3,nao0,nao3,nao6,nao9,nao12,nao15,pna-24,pna-21,pna-18,pna-15,pna-12,pna-9,pna-6,pna-3,pna0,pna3,pna6,pna9,pna12,pna15,wpo-24,wpo-21,wpo-18,wpo-15,wpo-12,wpo-9,wpo-6,wpo-3,wpo0,wpo3,wpo6,wpo9,wpo12,wpo15
0,75.43,274.20,167.21,20.65,6.73,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,76.85,78.61,193.00,106.52,11.44,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,51.33,50.04,251.86,219.93,76.92,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,19.21,8.60,205.06,41.55,95.41,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48
1,202.35,249.57,51.24,15.24,15.24,23.87,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,138.51,127.15,151.00,84.21,39.37,265.21,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,0.04,30.36,398.89,81.70,55.10,17.81,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,27.75,25.69,218.56,24.02,177.92,233.40,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06
2,269.45,228.28,14.48,9.82,25.00,15.85,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,95.60,190.27,120.21,48.34,94.34,241.83,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,55.68,109.13,376.78,25.90,14.41,80.85,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,4.33,109.90,140.40,5.82,207.82,175.99,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69
3,274.20,167.21,20.65,6.73,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,78.61,193.00,106.52,11.44,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,50.04,251.86,219.93,76.92,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,8.60,205.06,41.55,95.41,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37
4,249.57,51.24,15.24,15.24,23.87,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,30.62,127.15,151.00,84.21,39.37,265.21,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,73.54,30.36,398.89,81.70,55.10,17.81,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,308.66,25.69,218.56,24.02,177.92,233.40,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06,60.30
5,228.28,14.48,9.82,25.00,15.85,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,87.25,190.27,120.21,48.34,94.34,241.83,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,70.43,109.13,376.78,25.90,14.41,80.85,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,307.29,109.90,140.40,5.82,207.82,175.99,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69,39.01
6,167.21,20.65,6.73,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,128.93,193.00,106.52,11.44,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,21.86,251.86,219.93,76.92,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,266.83,205.06,41.55,95.41,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37,8.98
7,51.24,15.24,15.24,23.87,78.64,314.57,82.82,68.97,79.61,147.27,123.32,81.95,30.62,81.24,151.00,84.21,39.37,265.21,210.04,47.84,189.26,179.43,44.34,29.54,46.14,12.74,73.54,87.10,398.89,81.70,55.10,17.81,198.10,42.75,307.20,19.86,118.29,137.21,192.08,245.34,308.66,259.75,218.56,24.02,177.92,233.40,207.21,285.94,219.51,164.62,37.32,47.21,57.38,24.06,60.30,19.95
8,14.48,9.82,25.00,15.85,162.40,293.96,36.52,107.28,169.80,129.76,104.33,33.16,87.25,44.68,120.21,48.34,94.34,241.83,196.41,89.02,208.32,114.79,58.81,52.87,78.09,38.25,70.43,139.23,376.78,25.90,14.41,80.85,228.34,107.09,160.04,7.45,46.45,128.55,198.42,271.86,307.29,252.40,140.40,5.82,207.82,175.99,248.76,298.71,186.58,30.60,12.96,96.57,16.32,88.69,39.01,43.16
9,20.65,6.73,40.26,48.97,273.97,184.58,89.02,141.66,102.59,119.60,113.17,40.38,128.93,8.77,106.52,11.44,210.90,205.44,141.47,162.68,190.01,21.99,35.52,42.96,59.99,58.27,21.86,208.60,219.93,76.92,24.76,100.71,192.56,291.01,135.83,89.28,104.53,145.67,191.77,297.62,266.83,184.24,41.55,95.41,249.71,173.68,278.82,269.66,214.15,37.25,31.08,101.60,7.48,77.37,8.98,71.78
